season,team,rank
2016-2017,hapoel beer sheva,1
2016-2017,maccabi tel aviv,2
2016-2017,beitar jerusalem,3
2016-2017,maccabi petah tikva,4
2016-2017,bnei sakhnin,5
2016-2017,maccabi haifa,6
2016-2017,ironi kiryat shmona,7
2016-2017,hapoel tel aviv,8
2016-2017,hapoel haifa,9
2016-2017,ashdod fc,10
2016-2017,hapoel raanana,11
2016-2017,bnei yehuda tel aviv,12
2016-2017,hapoel ashqelon,13
2016-2017,hapoel kfar sava,14
2017-2018,hapoel beer sheva,1
2017-2018,maccabi tel aviv,2
2017-2018,beitar jerusalem,3
2017-2018,hapoel haifa,4
2017-2018,maccabi netanya,5
2017-2018,bnei yehuda tel aviv,6
2017-2018,ironi kiryat shmona,7
2017-2018,maccabi petah tikva,8
2017-2018,hapoel raanana,9
2017-2018,maccabi haifa,10
2017-2018,bnei sakhnin,11
2017-2018,ashdod fc,12
2017-2018,hapoel acre,13
2017-2018,hapoel ashqelon,14
2018-2019,maccabi tel aviv,1
2018-2019,maccabi haifa,2
2018-2019,hapoel beer sheva,3
2018-2019,maccabi netanya,4
2018-2019,bnei yehuda tel aviv,5
2018-2019,hapoel hadera,6
2018-2019,beitar jerusalem,7
2018-2019,hapoel tel aviv,8
2018-2019,hapoel raanana,9
2018-2019,ironi kiryat shmona,10
2018-2019,hapoel haifa,11
2018-2019,ashdod fc,12
2018-2019,maccabi petah tikva,13
2018-2019,bnei sakhnin,14
2019-2020,maccabi tel aviv,1
2019-2020,maccabi haifa,2
2019-2020,beitar jerusalem,3
2019-2020,hapoel beer sheva,4
2019-2020,hapoel tel aviv,5
2019-2020,hapoel haifa,6
2019-2020,bnei yehuda tel aviv,7
2019-2020,hapoel hadera,8
2019-2020,maccabi netanya,9
2019-2020,ashdod fc,10
2019-2020,hapoel kfar sava,11
2019-2020,ironi kiryat shmona,12
2019-2020,sektzia nes ziona,13
2019-2020,hapoel raanana,14
