season,matchday,home team,away team,home attendance,away attendance,total attendance,winning team
2016-2017,1,bnei yehuda tel aviv,bnei sakhnin,2070,154,2224,D
2016-2017,1,hapoel ashqelon,hapoel haifa,1997,247,2244,H
2016-2017,1,ironi kiryat shmona,ashdod fc,900,30,930,H
2016-2017,1,hapoel beer sheva,hapoel raanana,12350,50,12400,H
2016-2017,1,maccabi petah tikva,beitar jerusalem,1500,4500,6000,D
2016-2017,1,maccabi tel aviv,hapoel kfar sava,6066,286,6352,H
2016-2017,1,maccabi haifa,hapoel tel aviv,24854,2900,27754,H
2016-2017,2,hapoel haifa,bnei yehuda tel aviv,0,0,0,H
2016-2017,2,ashdod fc,maccabi tel aviv,0,0,0,A
2016-2017,2,bnei sakhnin,maccabi haifa,0,0,0,H
2016-2017,2,hapoel tel aviv,hapoel beer sheva,0,0,0,D
2016-2017,2,beitar jerusalem,ironi kiryat shmona,0,0,0,D
2016-2017,2,hapoel kfar sava,hapoel ashqelon,0,0,0,D
2016-2017,2,hapoel raanana,maccabi petah tikva,0,0,0,A
2016-2017,3,ironi kiryat shmona,hapoel raanana,1020,50,1070,D
2016-2017,3,bnei yehuda tel aviv,maccabi haifa,2300,4700,7000,D
2016-2017,3,hapoel haifa,hapoel kfar sava,2268,232,2500,A
2016-2017,3,hapoel beer sheva,bnei sakhnin,15000,420,15420,H
2016-2017,3,hapoel ashqelon,ashdod fc,2180,150,2330,D
2016-2017,3,maccabi tel aviv,beitar jerusalem,10700,1100,11800,D
2016-2017,3,maccabi petah tikva,hapoel tel aviv,800,1700,2500,H
2016-2017,4,hapoel tel aviv,ironi kiryat shmona,6064,127,6191,D
2016-2017,4,ashdod fc,hapoel haifa,750,80,830,A
2016-2017,4,hapoel kfar sava,bnei yehuda tel aviv,1276,452,1728,A
2016-2017,4,beitar jerusalem,hapoel ashqelon,6000,300,6300,H
2016-2017,4,bnei sakhnin,maccabi petah tikva,2000,50,2050,A
2016-2017,4,hapoel raanana,maccabi tel aviv,700,2300,3000,A
2016-2017,4,maccabi haifa,hapoel beer sheva,24023,1600,25623,H
2016-2017,5,ironi kiryat shmona,bnei sakhnin,1100,200,1300,D
2016-2017,5,hapoel kfar sava,ashdod fc,1512,117,1629,H
2016-2017,5,hapoel ashqelon,hapoel raanana,1670,50,1720,D
2016-2017,5,hapoel haifa,beitar jerusalem,2000,3200,5200,H
2016-2017,5,bnei yehuda tel aviv,hapoel beer sheva,1800,2060,3860,A
2016-2017,5,maccabi tel aviv,hapoel tel aviv,11200,1200,12400,H
2016-2017,5,maccabi petah tikva,maccabi haifa,1500,5600,7100,D
2016-2017,6,hapoel raanana,hapoel haifa,0,0,0,H
2016-2017,6,bnei sakhnin,maccabi tel aviv,0,0,0,A
2016-2017,6,maccabi haifa,ironi kiryat shmona,0,0,0,D
2016-2017,6,hapoel beer sheva,maccabi petah tikva,0,0,0,H
2016-2017,6,ashdod fc,bnei yehuda tel aviv,0,0,0,D
2016-2017,6,hapoel tel aviv,hapoel ashqelon,0,0,0,H
2016-2017,6,beitar jerusalem,hapoel kfar sava,0,0,0,H
2016-2017,7,hapoel haifa,hapoel tel aviv,0,0,0,A
2016-2017,7,hapoel kfar sava,hapoel raanana,0,0,0,A
2016-2017,7,ironi kiryat shmona,hapoel beer sheva,0,0,0,A
2016-2017,7,maccabi tel aviv,maccabi haifa,0,0,0,A
2016-2017,7,bnei yehuda tel aviv,maccabi petah tikva,0,0,0,A
2016-2017,7,ashdod fc,beitar jerusalem,0,0,0,D
2016-2017,7,hapoel ashqelon,bnei sakhnin,0,0,0,A
2016-2017,8,bnei sakhnin,hapoel haifa,1400,100,1500,H
2016-2017,8,hapoel tel aviv,hapoel kfar sava,6300,500,6800,D
2016-2017,8,hapoel raanana,ashdod fc,300,138,438,D
2016-2017,8,maccabi haifa,hapoel ashqelon,19065,459,19524,H
2016-2017,8,maccabi petah tikva,ironi kiryat shmona,1600,100,1700,H
2016-2017,8,hapoel beer sheva,maccabi tel aviv,14000,1600,15600,H
2016-2017,8,beitar jerusalem,bnei yehuda tel aviv,6000,200,6200,D
2016-2017,9,bnei yehuda tel aviv,ironi kiryat shmona,1712,100,1812,A
2016-2017,9,ashdod fc,hapoel tel aviv,1200,1378,2578,H
2016-2017,9,beitar jerusalem,hapoel raanana,4500,50,4550,H
2016-2017,9,hapoel haifa,maccabi haifa,5200,20000,25200,D
2016-2017,9,hapoel ashqelon,hapoel beer sheva,2563,1937,4500,A
2016-2017,9,maccabi tel aviv,maccabi petah tikva,8725,200,8925,D
2016-2017,9,hapoel kfar sava,bnei sakhnin,900,560,1460,H
2016-2017,10,bnei sakhnin,ashdod fc,1500,50,1550,A
2016-2017,10,maccabi petah tikva,hapoel ashqelon,950,150,1100,D
2016-2017,10,maccabi haifa,hapoel kfar sava,23524,300,23824,H
2016-2017,10,hapoel beer sheva,hapoel haifa,15122,150,15272,H
2016-2017,10,hapoel raanana,bnei yehuda tel aviv,450,200,650,H
2016-2017,10,ironi kiryat shmona,maccabi tel aviv,1800,1700,3500,A
2016-2017,10,beitar jerusalem,hapoel tel aviv,18300,1400,19700,D
2016-2017,11,hapoel raanana,hapoel tel aviv,1200,1400,2600,D
2016-2017,11,hapoel haifa,maccabi petah tikva,2000,80,2080,H
2016-2017,11,ashdod fc,maccabi haifa,1600,4000,5600,D
2016-2017,11,ironi kiryat shmona,hapoel ashqelon,1000,60,1060,H
2016-2017,11,hapoel kfar sava,hapoel beer sheva,2033,1762,3795,A
2016-2017,11,bnei yehuda tel aviv,maccabi tel aviv,3400,2000,5400,H
2016-2017,11,beitar jerusalem,bnei sakhnin,7600,40,7640,A
2016-2017,12,ironi kiryat shmona,hapoel haifa,900,50,950,H
2016-2017,12,maccabi petah tikva,hapoel kfar sava,570,240,810,D
2016-2017,12,maccabi tel aviv,hapoel ashqelon,6182,60,6242,D
2016-2017,12,hapoel beer sheva,ashdod fc,14900,300,15200,H
2016-2017,12,bnei sakhnin,hapoel raanana,1980,20,2000,D
2016-2017,12,bnei yehuda tel aviv,hapoel tel aviv,1500,1250,2750,A
2016-2017,12,maccabi haifa,beitar jerusalem,26314,2700,29014,A
2016-2017,13,hapoel tel aviv,bnei sakhnin,7650,350,8000,D
2016-2017,13,hapoel kfar sava,ironi kiryat shmona,1425,100,1525,D
2016-2017,13,hapoel ashqelon,bnei yehuda tel aviv,1800,315,2115,H
2016-2017,13,hapoel raanana,maccabi haifa,1000,3000,4000,D
2016-2017,13,ashdod fc,maccabi petah tikva,380,50,430,D
2016-2017,13,hapoel haifa,maccabi tel aviv,2300,1000,3300,A
